State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,Medium,30/08/2025,800,1700,1200
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,30/08/2025,1700,2800,2100
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,FAQ,30/08/2025,10000,15100,14000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Apple,Apple,Medium,30/08/2025,5000,10000,8000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bottle gourd,Bottle Gourd,FAQ,30/08/2025,1000,2000,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,30/08/2025,800,2000,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,Other,FAQ,30/08/2025,2000,3500,2800
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Mousambi(Sweet Lime),Other,Medium,30/08/2025,2000,4000,3500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,30/08/2025,800,1500,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,30/08/2025,1600,4000,3200
Gujarat,Amreli,Babra,Cummin Seed(Jeera),Other,FAQ,30/08/2025,14975,17775,16375
Gujarat,Amreli,Bagasara,Cotton,Other,Non-FAQ,30/08/2025,5500,8005,6752
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,30/08/2025,850,1550,1200
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Bottle gourd,Bottle Gourd,FAQ,30/08/2025,2000,2500,2200
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Brinjal,Other,FAQ,30/08/2025,2000,4000,3000
Gujarat,Chhota Udaipur,Hadad    ,Cotton,Shanker 6 (B) 30mm FIne,FAQ,30/08/2025,6850,6950,6900
Gujarat,Rajkot,Dhoraji,Arhar (Tur/Red Gram)(Whole),Medium,Non-FAQ,30/08/2025,6105,6180,6105
Gujarat,Surat,Songadh(Badarpada),Bhindi(Ladies Finger),Bhindi,FAQ,30/08/2025,2100,3300,2800
Gujarat,Surat,Songadh(Badarpada),Guar,Other,FAQ,30/08/2025,4500,5500,5000
Gujarat,Surendranagar,Dhragradhra,Wheat,Wheat,FAQ,30/08/2025,2290,2290,2290
Gujarat,Vadodara(Baroda),Padra,Bhindi(Ladies Finger),Other,FAQ,30/08/2025,1000,1750,1400
Gujarat,Vadodara(Baroda),Padra,Cowpea(Veg),Other,FAQ,30/08/2025,4500,5500,5000
Gujarat,Vadodara(Baroda),Padra,Potato,Other,FAQ,30/08/2025,1000,2000,1500
Haryana,Bhiwani,Bhiwani,Mousambi(Sweet Lime),Mousambi,Large,30/08/2025,2590,3120,2890
Haryana,Bhiwani,Bhiwani,Onion,Other,FAQ,30/08/2025,1422,2240,1870
Haryana,Bhiwani,Bhiwani,Pomegranate,Other,Large,30/08/2025,7540,10214,8890
Haryana,Gurgaon,Farukh Nagar,Tomato,Other,FAQ,30/08/2025,3700,4700,3700
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,30/08/2025,5000,10000,7500
Haryana,Gurgaon,Gurgaon,Banana,Other,Large,30/08/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,Bitter gourd,Other,FAQ,30/08/2025,1000,1400,1200
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,30/08/2025,1000,1400,1200
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,30/08/2025,800,1000,900
Haryana,Hissar,Uklana,Bottle gourd,Bottle Gourd,FAQ,30/08/2025,800,1000,1000
Haryana,Hissar,Uklana,Potato,Potato,FAQ,30/08/2025,800,900,900
Haryana,Mahendragarh-Narnaul,Narnaul,Bottle gourd,Bottle Gourd,FAQ,30/08/2025,1000,2000,1500
Haryana,Mahendragarh-Narnaul,Narnaul,Coriander(Leaves),Coriander,FAQ,30/08/2025,2000,2000,2000
